# Chunk-averaged data for fix profile and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 5000
  20 33.1564 124.476 0.958849
  21 34.31 128.108 0.959051
  22 35.4637 127.523 0.954989
  23 36.6173 125.056 0.959386
  24 37.771 123.149 0.942165
  25 38.9247 128.18 0.958517
  26 40.0783 127.722 0.967521
  27 41.232 124.129 0.996473
  28 42.3856 124.498 0.976457
  29 43.5393 129.987 0.977438
  30 44.693 123.259 0.987318
  31 45.8466 121.824 0.97246
  32 47.0003 127.78 1.01775
  33 48.1539 125.375 0.998068
  34 49.3076 122.739 0.988916
  35 50.4612 122.526 1.01248
  36 51.6149 126.885 0.997211
  37 52.7686 126.552 0.960517
  38 53.9222 122.313 0.981231
  39 55.0759 123.2 0.994335
  40 56.2295 124.019 1.01718
85000 40 5000
  1 11.2368 122.692 1.02038
  2 12.3905 123.642 0.977661
  3 13.5442 129.446 0.970271
  4 14.6978 122.745 0.971656
  5 15.8515 123.4 0.987045
  6 17.0051 127.013 0.983755
  7 18.1588 128.606 0.986296
  8 19.3125 123.085 0.998732
  9 20.4661 124.996 0.967897
  10 21.6198 125.475 0.987044
  11 22.7734 125.518 0.988534
  12 23.9271 126.953 0.961909
  13 25.0807 126.139 0.953366
  14 26.2344 121.749 0.976759
  15 27.3881 126.747 0.973355
  16 28.5417 127.908 0.962506
  17 29.6954 125.732 0.936258
  18 30.849 126.852 0.948663
  19 32.0027 124.316 0.967661
  20 33.1564 125.595 0.954995
  21 34.31 126.907 0.95102
  22 35.4637 125.424 0.939739
  23 36.6173 125.304 0.965774
  24 37.771 125.842 0.942408
  25 38.9247 125.66 0.943709
  26 40.0783 126.116 0.938344
  27 41.232 125.285 0.976933
  28 42.3856 123.218 0.973789
  29 43.5393 125.138 0.985974
  30 44.693 125.903 0.97621
  31 45.8466 123.203 0.95942
  32 47.0003 126.519 0.950877
  33 48.1539 124.29 0.945883
  34 49.3076 124.567 0.946843
  35 50.4612 125.25 0.983263
  36 51.6149 124.612 1.01005
  37 52.7686 122.439 1.00525
  38 53.9222 120.458 0.992274
  39 55.0759 122.764 0.992059
  40 56.2295 122.491 1.0341
90000 40 5000
  1 11.2368 123.195 0.999759
  2 12.3905 125.126 1.00807
  3 13.5442 123.785 0.984488
  4 14.6978 126.54 0.948828
  5 15.8515 126.642 0.961836
  6 17.0051 126.889 0.984371
  7 18.1588 125.939 0.996147
  8 19.3125 124.729 0.956509
  9 20.4661 123.023 0.983725
  10 21.6198 125.087 0.957879
  11 22.7734 125.683 0.986587
  12 23.9271 124.522 1.00537
  13 25.0807 124.468 0.988134
  14 26.2344 124.364 0.958658
  15 27.3881 125.988 0.952915
  16 28.5417 125.81 0.947684
  17 29.6954 126.288 0.927719
  18 30.849 126.842 0.931511
  19 32.0027 126.257 0.947911
  20 33.1564 126.648 0.943315
  21 34.31 125.151 0.96314
  22 35.4637 125.642 0.967443
  23 36.6173 125.487 0.989362
  24 37.771 122.258 0.991421
  25 38.9247 125.773 0.993115
  26 40.0783 124.947 0.95818
  27 41.232 128.391 0.961371
  28 42.3856 124.013 0.951369
  29 43.5393 123.737 0.951766
  30 44.693 126.377 0.94068
  31 45.8466 126.375 0.999367
  32 47.0003 124.853 0.986621
  33 48.1539 124.572 0.968179
  34 49.3076 122.91 1.00273
  35 50.4612 122.753 1.02871
  36 51.6149 120.341 1.03191
  37 52.7686 125.459 0.984531
  38 53.9222 122.829 0.974979
  39 55.0759 124.407 1.00296
  40 56.2295 125.9 1.00915
95000 40 5000
  1 11.2368 124.244 1.0116
  2 12.3905 123.126 0.987699
  3 13.5442 123.537 1.01018
  4 14.6978 125.054 0.9891
  5 15.8515 125.386 0.990169
  6 17.0051 124.433 0.989912
  7 18.1588 123.173 0.973534
  8 19.3125 126.029 0.968125
  9 20.4661 126.712 0.986619
  10 21.6198 127.11 0.95849
  11 22.7734 124.806 0.956094
  12 23.9271 123.026 0.957766
  13 25.0807 125.992 0.975318
  14 26.2344 126.219 0.938026
  15 27.3881 124.91 0.959338
  16 28.5417 125.498 0.96163
  17 29.6954 122.91 0.966802
  18 30.849 123.599 1.00729
  19 32.0027 124.807 0.959203
  20 33.1564 129.437 0.928019
  21 34.31 122.65 0.943998
  22 35.4637 123.636 0.992789
  23 36.6173 125.719 0.97129
  24 37.771 124.322 0.975549
  25 38.9247 124.551 0.95492
  26 40.0783 126.865 0.961568
  27 41.232 126.961 0.965412
  28 42.3856 125.606 0.981962
  29 43.5393 125.131 1.00346
  30 44.693 125.586 0.990824
  31 45.8466 124.516 1.00345
  32 47.0003 125.246 1.00991
  33 48.1539 123.528 0.990839
  34 49.3076 125.379 0.990891
  35 50.4612 125.536 0.981732
  36 51.6149 123.982 0.991183
  37 52.7686 125.277 0.998545
  38 53.9222 125.515 0.996029
  39 55.0759 124.357 0.999475
  40 56.2295 125.629 1.01939
100000 40 5000
  1 11.2368 125.304 1.01174
  2 12.3905 120.667 1.02585
  3 13.5442 123.607 1.04379
  4 14.6978 122.852 1.00293
  5 15.8515 126.708 0.973323
  6 17.0051 125.657 0.972461
  7 18.1588 124.503 0.992531
  8 19.3125 122.023 0.968937
  9 20.4661 125.306 0.971786
  10 21.6198 125.118 0.987022
  11 22.7734 124.192 0.983002
  12 23.9271 125.273 0.97424
  13 25.0807 126.247 0.970208
