# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot v_pyz v_eta
285000 372.829 -14.865 0.67534 1062.5 963.791 98.7124 -46.3125 0.000463125
286000 373.669 -12.1872 0.67534 1067.02 965.963 101.058 -16.7414 0.000167414
287000 372.891 7.50309 0.67534 1067.31 963.951 103.355 -73.1239 0.000731239
288000 372.941 5.98003 0.67534 1067.6 964.08 103.521 -52.8535 0.000528535
289000 373.459 -30.7567 0.67534 1065.62 965.419 100.197 -9.98361 9.98361e-05
290000 373.052 5.51087 0.67534 1069.12 964.367 104.753 -16.5505 0.000165505
291000 373.054 -0.376057 0.67534 1067.84 964.371 103.472 -45.4684 0.000454684
292000 373.279 -4.24081 0.67534 1069.93 964.954 104.977 -32.4774 0.000324774
293000 373.064 -13.3611 0.67534 1066.42 964.398 102.018 -54.1618 0.000541618
294000 373.148 -13.4629 0.67534 1069.86 964.616 105.243 -15.9772 0.000159772
295000 373.224 -0.819705 0.67534 1065.79 964.811 100.979 -55.1893 0.000551893
296000 373.076 -19.1474 0.67534 1062.48 964.428 98.0563 -46.391 0.00046391
297000 373.193 -29.661 0.67534 1065.63 964.731 100.903 -53.7303 0.000537303
298000 373.158 -22.3165 0.67534 1070.6 964.642 105.962 -51.2315 0.000512315
299000 372.981 20.4051 0.67534 1065.7 964.182 101.519 -28.6153 0.000286153
300000 373.329 -21.1505 0.67534 1067.12 965.084 102.034 -29.1297 0.000291297
301000 372.912 -35.1812 0.67534 1063.65 964.004 99.6463 -14.9695 0.000149695
302000 373.377 9.6859 0.67534 1069.06 965.208 103.851 -24.7859 0.000247859
303000 373.037 7.03076 0.67534 1064.7 964.327 100.376 -6.5188 6.5188e-05
304000 373.222 -15.9661 0.67534 1066.09 964.808 101.286 2.89794 -2.89794e-05
305000 373.119 3.36204 0.67534 1066.97 964.54 102.434 -38.479 0.00038479
306000 373.149 8.94201 0.67534 1064.13 964.616 99.5171 -19.2933 0.000192933
307000 373.041 -9.4103 0.67534 1064.8 964.339 100.459 -52.4443 0.000524443
308000 373.327 30.8123 0.67534 1069.15 965.079 104.072 -60.8608 0.000608608
309000 373.08 3.68802 0.67534 1066.94 964.438 102.498 -48.9126 0.000489126
310000 372.987 -7.21005 0.67534 1066.17 964.2 101.97 -15.632 0.00015632
311000 373.313 -2.07154 0.67534 1072.2 965.041 107.163 -4.87872 4.87872e-05
312000 373.281 -28.2111 0.67534 1069 964.959 104.043 -9.22133 9.22133e-05
313000 372.909 -0.570881 0.67534 1071.61 963.998 107.613 -40.6352 0.000406352
314000 373.129 -15.2256 0.67534 1072.91 964.567 108.348 -20.0024 0.000200024
315000 373.3 -95.007 0.67534 1067.73 965.007 102.726 -8.54558 8.54558e-05
316000 373.029 -31.8662 0.67534 1066.9 964.307 102.595 -20.8816 0.000208816
317000 373.32 -28.3369 0.67534 1068.57 965.059 103.509 -29.4569 0.000294569
318000 372.976 7.72751 0.67534 1065.83 964.171 101.66 -9.30029 9.30029e-05
