# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot
6060 1.0885 0.467789 0.726 -3.37455 1.63242 -5.00697
6080 1.09134 0.447681 0.726 -3.37794 1.63669 -5.01463
6100 1.08757 0.454692 0.726 -3.38191 1.63103 -5.01295
6120 1.07723 0.489794 0.726 -3.38599 1.61553 -5.00151
6140 1.07268 0.500409 0.726 -3.38921 1.60869 -4.9979
6160 1.07645 0.474803 0.726 -3.39129 1.61435 -5.00565
6180 1.08364 0.435045 0.726 -3.39285 1.62514 -5.01799
6200 1.0833 0.430641 0.726 -3.39466 1.62462 -5.01928
6220 1.07315 0.471784 0.726 -3.39667 1.60941 -5.00608
6240 1.06814 0.491118 0.726 -3.3979 1.60189 -4.99979
6260 1.07503 0.457217 0.726 -3.39788 1.61222 -5.0101
6280 1.07969 0.431178 0.726 -3.39717 1.61921 -5.01638
6300 1.08412 0.409588 0.726 -3.39629 1.62585 -5.02214
6320 1.084 0.412631 0.726 -3.39567 1.62567 -5.02134
6340 1.07928 0.439831 0.726 -3.3953 1.6186 -5.01389
6360 1.07617 0.463553 0.726 -3.39468 1.61393 -5.00861
6380 1.07228 0.492416 0.726 -3.3931 1.60809 -5.0012
6400 1.07613 0.492729 0.726 -3.38969 1.61387 -5.00356
6420 1.08135 0.49308 0.726 -3.38446 1.6217 -5.00616
6440 1.08005 0.526185 0.726 -3.37808 1.61975 -4.99783
6460 1.07747 0.56591 0.726 -3.37086 1.61588 -4.98675
6480 1.08822 0.546774 0.726 -3.36306 1.632 -4.99507
6500 1.09749 0.527918 0.726 -3.35613 1.64591 -5.00205
6520 1.09578 0.549216 0.726 -3.35129 1.64334 -4.99463
6540 1.09737 0.550965 0.726 -3.34849 1.64573 -4.99423
6560 1.09871 0.546227 0.726 -3.34778 1.64774 -4.99552
6580 1.09591 0.550093 0.726 -3.34932 1.64354 -4.99285
6600 1.0951 0.537816 0.726 -3.35303 1.64232 -4.99535
6620 1.09369 0.52033 0.726 -3.35896 1.64021 -4.99917
6640 1.08945 0.507475 0.726 -3.36698 1.63385 -5.00083
6660 1.08018 0.511557 0.726 -3.37609 1.61994 -4.99603
6680 1.07896 0.483004 0.726 -3.38476 1.61812 -5.00288
6700 1.07693 0.461256 0.726 -3.39223 1.61507 -5.0073
6720 1.0789 0.427721 0.726 -3.39819 1.61803 -5.01621
6740 1.085 0.383318 0.726 -3.40305 1.62717 -5.03022
6760 1.0835 0.379356 0.726 -3.4075 1.62493 -5.03243
