# Created by MD - Bulk Evaluation, Folder: ./EMD_LJ
# t λ(t) ACF_λ
# ps W/(m*K) eV^2/(Å^4*ps)
2.485 9.783993799246338e7 0.0005222889773771746
2.49 9.793507072219136e7 0.000517639134298529
2.495 9.802944873522481e7 0.0005140389133955901
2.5 9.812327611409195e7 0.0005116199656025898
2.505 9.821677101060665e7 0.0005104044361139533
2.5100000000000002 9.831014777313668e7 0.0005103286029778564
2.515 9.84036032744958e7 0.000511265156942173
2.52 9.849730672349356e7 0.0005130390026508056
2.525 9.859139165951742e7 0.0005154353209234616
2.5300000000000002 9.868594890641707e7 0.0005182019929087833
2.535 9.878101988142064e7 0.0005210510569455965
2.54 9.887659054900211e7 0.0005236643018351709
2.545 9.897258708060062e7 0.0005257063208565175
2.5500000000000003 9.90688745404511e7 0.000526844537158587
2.555 9.916525946409662e7 0.0005267717306315416
2.56 9.926149636946057e7 0.0005252264991574859
2.565 9.935729764058423e7 0.0005220096651003171
2.57 9.945234620617145e7 0.000516998419830721
2.575 9.95463107833892e7 0.000510160220838208
2.58 9.963886356355898e7 0.0005015655878036761
2.585 9.972969982208374e7 0.0004913963409616663
2.59 9.981855816079555e7 0.0004799442759572821
2.595 9.990523921234329e7 0.0004675956770334544
2.6 9.998962010857227e7 0.0004548004985849498
2.605 1.0007166232743584e8 0.00044203080210901283
2.61 1.0015141180071051e8 0.0004297377194814582
2.615 1.0022899200549348e8 0.0004183177930011592
2.62 1.003045925374001e8 0.00040809724430690143
2.625 1.0037845663808504e8 0.00039933627479504867
2.63 1.0045087095918123e8 0.000392249212252551
2.6350000000000002 1.0052215950985734e8 0.00038703009678131664
2.64 1.0059268154616143e8 0.0003838701838564744
2.645 1.0066283085974647e8 0.0003829557384172969
2.65 1.0073303249929033e8 0.00038444217664403136
2.6550000000000002 1.0080373313793507e8 0.00038841046671591337
2.66 1.008753831914934e8 0.0003948205528451009
2.665 1.0094841168345512e8 0.0004034786440922012
2.67 1.0102319742871429e8 0.0004140296842200404
2.6750000000000003 1.0110004125567578e8 0.0004259762327183087
2.68 1.0117914335539176e8 0.00043871562908749683
2.685 1.0126058804866982e8 0.00045158391691613604
2.69 1.0134433644549495e8 0.0004638981933460081
2.695 1.0143022644324261e8 0.00047499448244744713
2.7 1.0151797930936638e8 0.00048426183893643556
2.705 1.0160721230140033e8 0.0004911742404275268
2.71 1.0169745708735222e8 0.000495322101179639
2.715 1.0178818393535668e8 0.0004964438241080133
2.72 1.0187883140207383e8 0.0004944543574205354
